诺基亚X71	黑色	157	76	180	unknown	双卡双待单通		64GB	6GB	6.39 英寸	2310x1080	unknown		unknown	3500	3.5mm	Type-C

5--->太空黑	6GB+128GB	2019-04-21 21:55--->很赞，很喜欢。手感很棒。物流速度超级快，赞一个。当天下单，当天收到。手机拿到手感很不错，外形100分，即使不喜欢金属条框，也中意这款手机。给安排了手机壳，简直完美。用了几天来评价，速度很流畅，我不玩游戏。就正常通话，~，~~类，电池可以用一天，还不错。手机没有发热卡顿的现象~总体来说就是四个字：爱不释手。
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-02 22:59--->手机非常好用，1.原生系统就是流畅，2.诺基亚外观硬朗，耐看，双面玻璃手感非常nice，3.镜头是卡尔蔡司，用过塞班的都知道质量很好，4.原生系统可玩性高，内置了商店和浏览器都是~提供的服务还有负一屏的常用功能，实用，没有多余功能。5.比国产同等价位的值6.这个lcd屏幕应该是最好的了，显示效果非常棒，6.nokia标志加信仰，更舒服。
5--->太空黑	6GB+128GB	x71	2019-06-18 21:25--->宝贝收到了，真的很漂亮，从外观到手感。显示区域面积大，关键屏幕转角都是圆滑的跟以往手机屏幕显示不一样。看起来很舒服，前置摄像头是安在屏幕下面的，设计很厉害。后面三摄像头蔡司认证镜头。很愉快的一次购物。感谢京东相关工作人员！
5--->幻夜银	6GB+64GB	官方标配	2018-12-04 16:33--->我购买这个诺机，首先是情怀，从诺机到苹果4s再到6s，如今大屏横行当道，回归诺机，基本没有失望！第二就是观看视频，效果不错，虽然没有真的全屏，己经很满意了，主要还是价格实惠！性价比超高！x7的优点：系统纯净，有自带的管家，用于清理内存和病毒，感觉非常安全纯净，电池耐用，追剧感觉播放好多集，电池下降很少，比苹果耐用太多了，惊喜哦！缺点：容易误操作，一个手势，就返回了，我也是醉了！总之，这是一款情怀的良心之作！
5--->太空黑	6GB+64GB	x71	2019-07-31 09:04--->用了几天，就看个视频。本来是买个情怀，觉得很一般。前置摄像头开视频全是雪花，视频看一会手机烫的不敢碰。
1--->太空黑	6GB+64GB	x71	2019-07-30 20:08--->这一颗星是给快递员的，今年我已买三部诺基亚手机，通话质量太差，有电流回音，电池不耐用，这到底还是以前的诺基亚吗？我开始还以为是个别手机是这样，没想到三部手机通话质量都是这样，电池都是这么差，就是现在诺的通病，建议大家不要买
5--->太空黑	6GB+128GB	x71	2019-07-30 16:33--->一直喜欢诺基亚，今天买了现在用还不错！不知道以后怎么样！！玩游戏也流弊！京东自营的发货都快，就是其他的太@慢啦。想骂人了
5--->太空黑	6GB+64GB	x71	2019-07-30 08:40--->屏幕有点大了，系统是安卓系统
5--->太空黑	6GB+64GB	x71	2019-07-30 07:59--->一直在用诺基亚。从未改变，
5--->太空黑	6GB+128GB	x71	2019-07-29 14:15--->手机照相很清晰，很流畅，就是不送手机壳，
5--->太空黑	6GB+128GB	x71	2019-07-29 09:16--->物流速度真的太棒，优秀优秀优秀??
5--->太空黑	6GB+64GB	x71	2019-07-28 23:47--->反应快，系统干净，主要是情怀
5--->太空黑	6GB+64GB	x71	2019-07-28 22:18--->新机自然是好的，只是内置的~输入法不能卸载要批评，浏览器也不知是国内的哪家，既然号称原生系统为啥不直接给chrome。
5--->沁夜黑	6GB+128GB	官方标配	2018-10-30 18:05--->上个月买了一台X6作为备用机，完全就是为了情怀，又看到了新发布的X7，马上又入手了～直接点评，优缺点：1、710处理器不错，平常使用很流畅，玩吃鸡很强大，比X7好太多；2、经过蔡司认证的摄像头比X6拍照细节更加细腻，但是实际上只好了一点点，和我之前的预期差很远，主要是照片容易过曝，色彩太过于平淡，不讨好眼球；3、手感没X6好，屏幕太大了！4、宣传的双扬声器完全就是噱头，和X6的扬声器一模一样！5、因为标配充电器是快充，手机充电感觉很烫！总结：诺基亚的做工还是那么棒，包装盒打开后还是以前一样的气味，原生系统很简洁，日常使用很流畅，如果尺寸和X6一样，刘海再小一点，摄像头再好好下一番功夫，这就完美了，诺基亚给我太多青春的回忆了，但愿诺基亚东山再起，后面再出颜值和硬件完美的产品，我定捧场！
5--->太空黑	6GB+64GB	x71	2019-06-07 17:40--->自从诺基亚手机品牌表示回归，然后看了很久，刚好现在需要一个备用机，所以就毫不犹豫的买了，系统很纯净，外形很讨好，还可以。
5--->沁夜黑	6GB+128GB	官方标配	2018-11-16 06:19--->手机收到了，设计很惊艳，拿在手里容易掉落，太滑了，拍照很清楚，系统流畅，解锁速度很快，触屏轻了有时不灵，软件还没下载，总的来说，还算可以，用几天又来追评。
5--->幻夜银	6GB+64GB	官方标配	2018-11-02 18:55--->包装严实 物流快捷，电池持久 打开***后卡机了，强制重启后恢复出厂设置，很流畅无卡顿。屏幕 外放都很好 物有所值。对得起这价格，系统功能齐全 也需要进一步优化。满分x7
5--->太空黑	6GB+128GB	x71	2019-06-16 07:54--->物流速度很快，开箱后手机看上很不错，用了一天就后悔了，手机耗电严重，一个小时待机都能耗百分之6的电,充电时发热严重。
5--->太空黑	6GB+64GB	x71	2019-06-05 16:23--->流畅，好用，为了能用谷歌协议才换的手机，确实很喜欢这种原生系统，没有多余的东西，看着就清爽
5--->沁夜黑	6GB+128GB	官方标配	2018-12-15 17:43--->昨天拿到手的，屏幕用着还挺好的，手感不错，运行很流程，电池续航还不错，早上充的电，用了一天了，现在还有一大半的电。游戏模式还没开始
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-26 09:57--->一直期待的一部手机， 今天终于到手了。 用了多少年的老牌子， 一直信赖。 无论是机子的反应速度， 上手的质感，外观都非常好。 感谢有你， NOKIA
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-24 19:02--->昨天拍的，今天早上就收到货，里面有充电头和数据线，手机套，白色的，系统流畅，日常用没问题，试用了一天，顺畅，操作方便，今晚试下拍暗叫绝，五星好评！
5--->暮夜红	6GB+128GB	官方标配	2018-10-23 21:42--->因为怀念才买诺基亚的，记得以前用的6700s滑盖的诺基亚手机，质量特别好，摔了很多次一点事都没有，照相又清，音质又好，这7x外观高端大气上档次，颜值超高，刘海个人觉得没什么，后面的摄像头如果再低一点点就完美了，音质很好，超大声，照相超清，防抖技术满分，上网很快，手机做工精致，这是我用过最漂亮的手机了，苹果都没它好看，这价格买到这手机，物超所值，送的手机套胶比较硬，充电器很大个?，最后就看质量了，如果能有当年的质量那么好的话，我会一直支持诺基亚的?
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-03 12:37--->感觉非常好用，吃鸡和王者荣耀都非常流畅，而且暗拍功能真的拍案叫绝，非常满意，2000元以下的价位买到这个机真的超值，解锁真的0.2秒秒解锁，而且还有诺基亚品牌加成，无得顶！唯一不满意的就是刘海，希望以后能出无刘海全面屏产品！！
5--->沁夜黑	6GB+128GB	官方标配	2018-10-31 17:37--->速度很快，玩游戏超爽一点都不卡，王者荣耀高帧率模式很舒服。屏幕够大，声音也很大，音质清晰。后置摄像头突出太多了，手机平放不下，不过可以忽略不计。整体好评。
5--->太空黑	6GB+64GB	2019-04-22 20:12--->心仪已久的诺基亚X7l收到，首先给物流点个赞，超级快，给五星，快递也敬业赞?看外观很满意，货刚拿到手还不怎么熟悉打开手机觉得界面太单调，也许还不怎么会用吧，总的来说还是挺怀旧的希望诺基亚手机越做越好。
5--->幻夜银	6GB+128GB	官方标配	2018-10-29 15:41--->刚买来，直接更新一下系统，挺喜欢的，续航还不清楚，轻度使用一下午用了10%的电量，看电影感觉比较好，有pad的感觉，还没玩游戏，不清楚严重使用什么样
5--->暮夜红	6GB+128GB	官方标配	2018-10-23 18:11--->颜值很高。红色是暗红色。整体给人很大气的感觉。系统很干净。只有一些基本的程序。拍照感觉暗光环境稍微暗一点。和ipx对比的。
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-04 17:54--->用了两天多才来评价，这波为信仰充值很值。系统很干净，使用起来也蛮流畅，续航比我之前的s7edge好很多。。。有点小瑕疵在于音量键和开机键松动，尾插松动，懒得换了，就这样用吧。总体还是很满意的。
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-31 14:11--->真的完美啊，这手机配置，做工，各方面都是一流的，质量非常满意，流畅度非常不错
5--->暮夜红	6GB+128GB	官方标配	2018-11-16 10:40--->诺基亚最擅长的就是做暗红色系列，很喜欢，手感相当棒，做工没有退步，只可惜现在的手机摄像头都突出的老高，不戴保护套都不行简直！完全影响了手机设计美感及个性的展示！要是在省电方面也跟上变频时代就好了，这点联想手机的进步里我要夸奖的一部分！手机@音质有带提高，有数码音嫌疑！如果是立体双扬声器，杜比全景声，那这款手机将比现在更为火爆，我就可以给它打九十分了，现在我只能给它八十分！
5--->太空黑	6GB+64GB	x71	2019-05-24 14:42--->10分好评，电池很耐用省电，充电也非常快，拍照很清晰，速度快。好看又好用。
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-26 12:31--->作为诺基亚的死忠粉，不得不吐槽一下！手机是买给老爸用的，录了他的指纹跟脸部识别，接着神奇的事发生了，刷我的脸跟老妈的脸都可以解锁，简直太不可思议了！双12买的，性价比十分高，玩王者荣耀全特效也很流畅一点都不卡
1--->太空黑	6GB+64GB	x71	2019-07-25 19:48--->反应还没有诺基亚x6反应快
5--->太空黑	6GB+128GB	x71	2019-07-25 19:30--->颜值还挺耐打，屏幕不知道什么牌子，但是显示还行，超出了期望值，系统挺好的，希望诺基亚继续努力
5--->太空黑	6GB+128GB	x71	2019-07-25 15:59--->手感好真不错。
5--->太空黑	6GB+64GB	x71	2019-07-25 15:43--->方便快捷，质量有保证！
5--->太空黑	6GB+128GB	x71	2019-07-25 13:35--->东西很不错。尾插也不松。系统流畅。拍照什么的都不错。
5--->太空黑	6GB+64GB	x71	2019-07-24 17:46--->老品牌值得信赖！一直在京东自营买！x71帮同事买的！我自己用x7！本来买X7的！好像没货了！同事拿到手上非常喜欢！
5--->太空黑	6GB+128GB	x71	2019-07-24 14:56--->用着还行，就是感觉屏幕有点小，可能是全面屏的原因，导航时耗电快
5--->太空黑	6GB+64GB	x71	2019-07-24 11:11--->诺基亚重出江湖，我是奔着颜值买的，因为我也不玩游戏，就看看电影发发~，所以配置差不多够用就行。手机外观非常漂亮，屏占比高，最喜欢那个打孔设计。目前可见的缺点是手机充电速度比华为要慢，而且机身会发热。
5--->太空黑	6GB+64GB	x71	2019-07-24 09:45--->相当惊艳，几乎完美，拍照绝对是一流的。唯一的不足就是比较重。
5--->幻夜银	6GB+64GB	官方标配	2018-12-08 20:46--->这个颜色比较深沉，适合中老年人，家人很喜欢。手感好，重量适中。系统很流畅，0卡顿。
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-18 19:29--->大小正好 手感也不错 屏幕大大的 看起来很有画面感 都很好。就是等了好几天才发货 收到了 值得
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-25 23:11--->很好的一次购物体验，打开的那一刻，太感动了，圆润的屏幕，久违了洛基亚！系统太纯净了，给人太多惊喜！
5--->幻夜银	6GB+64GB	官方标配	2018-11-02 16:41--->电池很给力，一天下来还有剩余，外观精致，屏幕很舒服，看爱奇艺超级棒，原生系统很好，刚到手不久，下次有空再评论
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-03 12:02--->屏幕很大，比我现在的苹果大，跟苹果plus相当了。感觉棒棒哒，先使用一段时间. 发货有一点点迟，不过京东服务态度非常好，给满分。先使用，后续追加评论。诺基亚老牌子了，期待中。看中的就是原生态安卓系统，干干净净我喜欢。
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-26 14:13--->就这样成为了诺基亚第一批X7的用户，熟悉的开机铃声，就好像让我回到9年前用诺基亚5320和C5的时候。不仅仅是情怀，感觉自己就只想用回诺基亚。原生安卓系统特干净流畅，屏幕显示也很美，相机很赞达到预期效果。外放音乐比我之前vivox9i饱满很多。机子很棒！性价比没得说。唯一不方便的地方就是要自己买膜贴膜。等了两天才到。才开始正式用。不过真的很棒，开心[捂脸][流泪][大哭]
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-07 10:43--->很有手感，开机熟悉声音瞬间回到了往年，夜间拍照绝对出彩，系统纯净流畅，充电快，电池耐用。
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-30 16:59--->看来诺基亚真是发力了。在诺基亚自2017年发布的中端机型中X7应该是最好的一款(本人认为)。无论从做工，配置，颜值，和使用中都有相当大的提升。拍照方面可以称得轻旗舰机型。经过几天的使用，特别给力。如果闪存使用UFS2.1就更好了，本机用的是emmc闪存芯片。在速度快慢上还是有区别的。另外在音效上再提升一个档次就更好了。望诺基亚下一部机型做的更好！支持，诺基亚！！！
5--->太空黑	6GB+64GB	x71	2019-06-24 10:47--->诺基亚的品质信得过，手机很满意，屏幕大，运行流畅，PUREDISPLAY屏幕显示效果真的很好，电源呼吸灯很炫，值了，拍照也很不错，支持诺基亚
5--->太空黑	6GB+128GB	2019-04-19 21:43--->挺好的，送货很快，手机上手玩了一天，感觉很棒。很少玩游戏。这个配置还不错了，主要想体验一下挖孔屏。支持诺基亚，老品牌了，过段时间给我爸也换诺基亚
5--->幻夜银	6GB+128GB	官方标配	2018-10-30 19:41--->特意用了两天才评价，手机运行流畅，到货直接升级系统，没有出现死机的情况，拍照成像清晰，手机颜色好看，银色有金属质感，漂亮！
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-16 20:45--->手机性价比贼高，很喜欢，高中用了三年诺基亚，这次换手机果断诺基亚，这个情怀一定得买。几乎全方面都很满意，非要说个缺点，那我觉得就外放音质比较水咯，不过这手机一千多，已经做得超好了。
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-02 15:21--->机子很漂亮，尺寸也很合适，反应很快，成像清晰，情怀和配置都有，就喜欢这种不一样的风格，诺基亚x7值得拥有！
5--->沁夜黑	6GB+128GB	官方标配	2018-11-12 16:21--->很不错的一个手机，没什么自带软件，原生系统就是好，运行快，试一下拍照，很好，更多功能进一步挖掘中，
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-02 17:13--->第一次用原生系统，感觉挺简洁的，好用啊，拿到手机质感还是非常惊艳的，屏幕也非常给力，相机没有评论里说的那么不堪，夜拍也没有说的那么强悍，总体中规中矩，同价位中应该实属中上之作了，诺基亚不知止是情怀
5--->太空黑	6GB+64GB	2019-04-18 16:40--->手感极佳，速度快，里面的原装系统可以全部卸载这一点最牛，很喜欢！
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-31 13:10--->等了几天，终于到手！本来用华为有通话自动录音功能，诺基亚也有，意料之外，很赞！诺粉惦记着拍照功能！1020可惜系统问题不好用，拍照一流！希望诺基亚越做越好！
5--->太空黑	6GB+64GB	x71	2019-05-01 21:13--->没问题，给老人买的，没装过游戏，不过日常使用很流畅，屏幕很大挺好的
5--->幻夜银	6GB+64GB	官方标配	2018-11-30 15:17--->速度很快，系统够纯净不用承受垃圾软件垃圾~。人脸识别很快，一拿起就能识别开屏。选的灰色也很好看，影相很高清，远处细节都能很清晰。性价比之王。
5--->沁夜黑	6GB+128GB	官方标配	2018-10-24 22:35--->可以双面拍摄还是有点看点。运行速度还是不错。拍摄效果也不错。我买的高配版。性价比还是可以。做工真的不错，质感很好。比起我的努比亚z18mini还是好了很多。昨晚下单今天下午就送到了。还是黑色。
5--->太空黑	6GB+64GB	2019-04-17 19:08--->正在使用，系统流畅，整体外观非常漂亮，手感很好，希望不要出现尾插问题就行
5--->太空黑	6GB+64GB	x71	2019-07-16 20:07--->今天上午下单下午就送到了，物流超级快。手机跟之前的x6差不多，好像照片没有水印，自带程序比x6多了几个，安装程序手机微微发热用一段时间再做评价。
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-02 11:22--->终于又回归了诺基亚的怀抱，感觉非常好，开机先更新了一下系统，然后打开***没有死机，音量键和开机键也没有松动，尾插还没有试，非常喜欢。
5--->暗夜蓝	6GB+64GB	官方标配	2019-03-24 12:35--->这个诺基亚手机非常非常的棒，非常非常的好，太满意了，快递员非常非常的热情，直接给我送到家里了，还顺便给我把垃圾带了出去，特别感谢京东。
5--->太空黑	6GB+64GB	x71	2019-06-16 07:52--->买来用了半个月了。手机很漂亮、大气，性能好，不卡顿，续航能力强，一天用下来还能剩60%多的电，保持了诺基亚长续航的特点。拍照也很好，色彩还原度强，4800W像素确实棒。
5--->太空黑	6GB+128GB	x71	2019-05-21 17:29--->诺基亚永远的经典，用起来不卡，非常好用，建议买128的。看电影一个字，爽，全屏幕。
5--->幻夜银	6GB+128GB	官方标配	2018-11-14 21:41--->双十一买的，隔天就到了，银色真的很好看，但是也很喜欢红色，不过最后还是选了银色了???，具体好不好用，有没有质量问题，要用一段时间才知道，反正现在没什么问题，系统也很流畅。
5--->暮夜红	6GB+128GB	官方标配	2018-10-29 22:46--->预约抢购到的，昨天晚上才拿到手的，开机还是金典的声音，系统更新，指纹解锁人脸识别速度杠杠的，从wp 到现在的安卓一直有用。现在安卓系统等一段时间再评。相信诺基亚越来越好，，，，
5--->暮夜红	6GB+128GB	官方标配	2018-10-24 09:21--->手感非常好，外观漂亮，送手机壳很贴心，开机即收到系统更新。熟悉的诺基亚开机音。音质一如既往的好听。其他功能有待使用一个月之后再做评价。大赞京东快递，上午十点抢到，晚八点就收到了快递小哥送达的电话。就问你惊喜不惊喜。哈哈哈。
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-18 13:53--->用了两天手机很好，屏幕，拍照都很给力，系统流畅，还有电池，重度使用也可以用一天，支持我东
5--->幻夜银	6GB+64GB	官方标配	2018-11-11 11:09--->京东的快递很好，速度很快服务也很好。诺基亚x7用了一天没有出现死机等任何问题，手机很轻握感很好系统更新后使用很流畅。桌面简洁，预装应用很少非常好。电池感觉挺耐用的，拍照效果不错，期待诺基亚未来发展更好。
5--->太空黑	6GB+64GB	2019-04-18 14:00--->不错的一款手机，干净好用，速度快，物流也快，昨晚23点前下单，早上10点就到了，很满意！虽然处理器低了点，但是也能够日常使用的了
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-23 17:11--->拿N6拍个X7，情怀。质感非常好，大小和N6一样，送套子一个。主要是备用的四儿子实在要跪了，拿个X7换下N6。对于不是重度手机瘾的人来说完全好用，性价比很高。好评......
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-08 13:33--->很坎坷的一次购物，但是最后解决了，最开始出了一点小问题，申请退换货，没过一会儿就售后打电话来了，了解了一下情况，这个售后的小哥哥服务很好，声音特别好听，特别温柔（问一下这个评价京东会看吗。。。。那个小哥哥好像叫吴超，你们一定要给他一个好评哟），然后就是退货过程，京东的售后是真的好，很顺利，退货过程的每一步都能查到，也很快收到了新手机，很好用，总之，好评，额，照片是我自己贴膜没贴好
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-31 10:40--->给老爸买的，系统非常的简洁，上手适应很快。拍照很强大，有老诺基亚的风范。最重要的还是情怀，满分！
5--->暮夜红	6GB+128GB	官方标配	2018-11-17 00:06--->包装有点简单，略薄。手机反应灵敏，速度够快，拍照够清晰。双击亮屏配合扫脸解锁，相当迅速便捷，比指纹都好用。
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-24 23:27--->机器还是不错的，做工很细腻，开机顺畅，UI简洁，没有乱七八糟的内置软件物流很快
5--->太空黑	6GB+64GB	2019-04-19 16:34--->18号订货，19号就到了。速度很快。京东物流服务也很好。诺基亚手机棒棒的。我就是x71诺基亚手机。
5--->暗夜蓝	6GB+64GB	官方标配	2019-02-04 20:51--->第二台诺基亚，给朋友的妈妈买的，喜欢她能喜欢。希望诺基亚越做越好。屏幕照顾很好，色彩艳丽，像素高清。
5--->暗夜蓝	6GB+64GB	官方标配	2019-03-02 12:01--->京东物流依然超级给力！！！！！！！有质感哈哈，用着也还不错，对诺基亚情有独钟哈哈哈
5--->太空黑	6GB+64GB	2019-04-18 22:17--->手机不错，系统流畅，手感很好，虽然买的是情怀，但还是给人惊喜感！不错，诺基亚，加油！
5--->太空黑	6GB+64GB	x71	2019-05-28 10:30--->感受：屏幕很细腻，全面屏感受非常好，比水滴屏更舒服。颜值、质感、外放比较x6要差点。拍照效果：远处进光量和噪点有很大优势，近距离拍摄很强大，双闪光灯，但没试过效果如何。如图，对比用了两年多的千元机手机HTC830 。
5--->幻夜银	6GB+64GB	官方标配	2018-11-06 14:33--->关注很久的诺基亚了，之前的手机配置太低了，相同的价格还不如国产配置性价比高。这次是冲着骁龙710来的，这颗处理器看着还行，起码是次旗舰，诺基亚的做工没得说，双面玻璃很圆润。希望诺基亚以后继续加油。
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-11 21:04--->屏幕很大，运行也很顺畅，拍照特别好，美中不足就是全民k歌会有延迟
5--->太空黑	6GB+64GB	2019-04-24 15:12--->哎呀，这个激动啊，朋友用的7，他推荐我买的X71，好用，物流太快了，头天买第二天上午就到了。
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-18 12:54--->用起来很好，完全比很多同等配置的手机好很多，并且颜值很高！！！
5--->幻夜银	6GB+64GB	官方标配	2018-12-18 11:24--->很满意 性价比很高 手机很好看 壳都有了还差个钢化膜吗 以为会带 还得单独买
5--->太空黑	6GB+128GB	x71	2019-07-15 12:51--->货已收到，京东就是快，快递小哥也很热情！特别是手机！很惊艳！期待使用效果。
5--->幻夜银	6GB+128GB	官方标配	2018-11-12 10:03--->双十一早上下的单，说是十二号才能到，没想到当天下午就到了。久违的诺基亚，系统干净，刚开机就收到系统更新。手感不错，颜色也很漂亮，一切还在探索中。
5--->暮夜红	6GB+128GB	官方标配	2018-11-01 19:46--->包装很严实，手机外观不错，一开机系统就可以升级，运行挺快，用一阵时间再评论！
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-30 19:27--->声音很大，音质可以 有手感系统简洁 专业拍摄比较喜欢
